complex_id,index
2.0_M_amet_c+M_uppg3_c,15
M_ni2_e,2850
M_ac_c+M_atp_c+M_coa_c,754
M_ggbutal_c+M_h2o_c+M_nadp_c,2094
M_adp_c+M_cpgn_c+M_h_c+M_pi_c,880
M_egmeACP_c+M_h_c+M_nadph_c,1887
M_atp_c+M_coa_c+M_h_p+M_hdcea_p,1308
M_amp_c+M_gdptp_c+M_h_c,1165
M_3hhcoa_c,515
M_2agpg141_c+M_h2o_c,340
M_amp_c+M_h_c+M_ppi_c+M_stcoa_c,1179
M_adp_c+M_cbl1_c+M_h_c+M_pi_c,868
M_adp_c+M_cu2_p+M_h_c+M_pi_c,886
M_atp_c+M_feoxam_p+M_h2o_c,1353
M_h2o_c+M_succoa_c+M_thdp_c,2364
M_glyc3p_p+M_h_p+M_ocdcea_p,2194
M_kdo2lipid4p_c+M_myrsACP_c,2714
M_micit_c,2762
M_asp_DASH_L_c+M_atp_c+M_citr_DASH_L_c,1273
M_enter_e+M_fe3_e,1893
M_mg2_c,2759
M_h2o_c+2.0_M_nad_c+M_udpg_c,2279
M_2dmmql8_c+M_nadp_c,395
M_feoxam_e,1988
M_prpp_c+M_ura_c,2924
M_h_c+M_hpyr_c+M_nadh_c,2456
M_co2_c+M_lys_DASH_L_c,1633
M_succ_p,2962
M_fe3_e+M_fe3hox_DASH_un_e,1962
M_gdptp_c+M_h2o_c,2088
2.0_M_fe2_c+2.0_M_feoxam_DASH_un_c+M_fmn_c+2.0_M_h_c,45
M_h_c+M_iasp_c+M_q8h2_c,2460
M_23dhmb_c,279
M_akg_c+M_ptrc_c,1081
M_3hcddec5eACP_c+M_nadp_c,500
M_adp_c+M_h_c+M_orn_c+M_pi_c,962
M_ac_p,766
M_2ohph_c,443
M_adp_c+M_cys_DASH_L_p+M_h_c+M_pi_c,888
M_adprib_c+M_h_c+M_ncam_c,1047
M_h_c+M_thymd_c,2584
M_atp_c+M_gln_DASH_L_c+M_h2o_c+M_xmp_c,1368
2.0_M_adp_c+M_cbp_c+M_glu_DASH_L_c+2.0_M_h_c+M_pi_c,9
