metabolite_id,index
M_2agpg181_p,93
M_ni2_e,834
M_ni2_p,835
M_pe141_p,895
M_3omrsACP_c,185
M_1odec11eg3p_p,47
M_val_DASH_L_p,1142
M_2sephchc_c,133
M_ptrc_e,981
M_eca4colipa_e,503
M_nadp_c,827
M_3c4mop_c,144
M_pg141_c,909
M_12ppd_DASH_S_p,20
M_3hhcoa_c,158
M_micit_c,782
M_pa160_c,876
M_occoa_c,846
M_14dhncoa_c,22
M_val_DASH_L_c,1140
M_2agpe161_c,74
M_hdeACP_c,664
M_anhm4p_c,319
M_fdp_c,523
M_sheme_c,1016
M_fmn_c,554
M_acon_DASH_C_c,263
M_4c2me_c,203
M_mg2_c,779
M_feoxam_p,550
M_alac_DASH_S_c,302
M_cobalt2_p,405
M_kdo8p_c,725
M_fecrm_e,540
M_cobalt2_e,404
M_feoxam_e,549
M_2agpe160_c,72
M_ctbt_c,424
M_h2o_p,647
M_toctd2eACP_c,1072
M_icit_c,692
M_alltt_c,306
M_lipa_e,747
M_succ_p,1033
M_cdpdodec11eg_c,373
M_melib_c,770
M_cys_DASH_L_p,432
M_g3pg_e,572
M_sufsesh_c,1045
M_myrsACP_c,821
M_pg160_c,911
M_23dhmb_c,60
M_asp_DASH_L_p,342
M_unagamuf_p,1125
M_phhlipa_c,939
M_phom_c,940
M_12dgr120_p,2
M_2ohph_c,125
M_ac_p,248
M_trp_DASH_L_e,1080
M_pran_c,963
M_3ophb_c,191
M_acetol_c,253
M_3hmrsACP_c,161
M_ppap_c,953
M_udpglcur_c,1117
M_lac_DASH_D_e,730
M_quin_c,993
M_4per_c,210
M_trdrd_c,1075
M_pppi_c,961
M_2oph_c,130
M_acald_p,251
M_cu2_p,429
M_anhgm4p_p,314
M_nadph_c,828
M_ala_DASH_D_c,293
M_dcaACP_c,445
M_dudp_c,495
M_3psme_c,195
M_ocdceap_c,853
M_man_c,768
M_arbtn_DASH_fe3_e,328
M_ps120_c,972
M_grxox_c,631
M_cbp_c,364
M_gmeACP_c,625
M_itp_c,716
M_fe3_c,527
M_5mtr_p,228
M_3odecACP_c,181
M_hxa_p,685
M_pa161_c,878
M_dxyl5p_c,499
M_murein5px4p_p,819
M_1agpe181_p,32
M_dad_DASH_5_c,438
M_u3aga_c,1094
M_2mecdp_c,119
M_phe_DASH_L_c,933
M_acg5sa_c,255
M_gg4abut_c,583
M_ura_e,1128
M_xtsn_c,1148
M_5mtr_e,227
M_dttp_c,494
M_thym_c,1064
M_lys_DASH_L_p,755
M_arbtn_e,331
M_mobd_e,794
M_mthgxl_c,804
M_2agpg140_p,83
M_crn_c,421
M_nadh_c,826
M_fmnh2_c,555
M_ps161_c,976
M_2ddecg3p_p,100
M_meoh_p,774
M_pa161_p,879
M_thr_DASH_L_p,1063
M_cdpdodecg_c,374
M_glycogen_c,624
M_murein5p4p_p,815
M_5mtr_c,226
M_frdp_c,561
M_3hhexACP_c,160
M_ap4a_c,322
M_ctp_c,426
M_etha_p,516
M_kdo2lipid4_p,723
M_nh4_c,830
M_pro_DASH_L_p,970
M_glyc3p_e,613
M_murein3p3p_p,806
M_acgam6p_c,257
M_1agpe180_p,31
M_3oocoa_c,186
M_3hcpalm9eACP_c,152
M_tyr_DASH_L_c,1090
M_dcdp_c,449
M_ps160_c,975
M_dhna_c,469
M_lys_DASH_L_c,753
M_cit_p,383
M_h2o_c,645
M_pa141_p,875
M_2tdecg3p_c,137
M_acald_e,250
M_2fe1s_c,107
M_amet_c,307
M_sbzcoa_c,1009
M_ser_DASH_L_e,1013
M_for_e,557
M_hdd2coa_c,663
M_rfamp_p,1002
M_seramp_c,1015
M_gggagicolipa_c,586
M_2fe2s_c,108
M_3ocmrs7eACP_c,175
M_5drib_c,222
M_dadp_c,439
M_udcpp_c,1110
M_2dhp_c,102
M_hisp_c,672
M_enter_p,512
M_3oodcoa_c,189
M_LalaDgluMdap_p,240
M_feoxam_c,548
M_1hdecg3p_p,45
M_o2_p,842
M_pe161_p,899
M_sufse_c,1044
M_dcmp_c,450
M_hemeO_c,665
M_opmeACP_c,862
M_ddca_c,455
M_g3pe_c,568
M_u3hga_c,1095
M_eca4und_p,505
M_12dgr160_c,7
M_glcn_c,592
M_tyr_DASH_L_p,1092
M_pa120_c,870
M_hxa_c,683
M_hpyr_c,681
M_tdcoa_c,1051
M_2hdecg3p_p,113
M_phthr_c,943
M_fecrm_c,539
M_rbflvrd_c,1000
M_clpn160_p,392
M_2dda7p_c,98
M_8aonn_c,233
M_sufbcd_DASH_2fe2s_c,1041
M_1agpg161_p,37
M_gagicolipa_c,575
M_enlipa_e,508
M_1tdec7eg3p_p,52
M_hpmeACP_c,680
M_clpn180_p,394
M_gua_c,640
M_ala_DASH_D_p,295
M_eca2und_p,501
M_sucorn_c,1038
M_3hocoa_c,162
M_12dgr141_p,6
M_fpram_c,559
M_3oddecACP_c,180
M_glyc_e,619
M_12ppd_DASH_R_e,16
M_uacgam_c,1101
M_1odec11eg3p_c,46
M_sucglu_c,1035
M_dhnpt_c,470
M_maltpt_c,764
M_dc2coa_c,444
M_ura_p,1129
