 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @Base\show.jl            165 show(io::IOContext{IOBuffer}, ::M…
     1         0 @Base\abstractdict.jl     36 summary
     1         0 @Base\show.jl           3212 showarg
     1         0 @Base\strings\io.jl       35 print(io::IOContext{IOBuffer}, x:…
     1         0 @Base\show.jl            965 show(io::IOContext{IOBuffer}, x::…
     1         0 @Base\show.jl            970 _show_type(io::IOContext{IOBuffer…
     1         0 @Base\show.jl            805 show_typealias(io::IOContext{IOBu…
     1         0 @Base\show.jl            624 make_typealias(x::Type)
     1         0 @Base\reflection.jl       96 unsorted_names
     1         1 @Base\reflection.jl       96 #unsorted_names#9
     1         0 @COCOA\src\COCOA.jl     2065 concordance_analysis(model::Abstr…
     1         0 @COCOA\src\COCOA.jl     2161 extract_modules(tracker::COCOA.Sh…
     1         0 @Base\strings\io.jl      146 print_to_string(::String, ::Varar…
     1         0 @Base\iobuffer.jl        119 GenericIOBuffer
     1         0 @Base\iobuffer.jl        128 #IOBuffer#519
     1         1 …ase\strings\string.jl   119 unsafe_wrap
     1         1 @Base\intfuncs.jl        921 string(n::Int64; base::Int64, pad…
     1         0 @Base\strings\basic.jl   180 isempty
     1         0 @Base\channels.jl        506 take_unbuffered(c::Channel{Any})
     1         1 …ptimizer_interface.jl   756 get(model::JuMP.Model, attr::Math…
     1         0 …HS\src\MOI_wrapper.jl  1092 set(model::HiGHS.Optimizer, ::Mat…
     1         1 …S\src\gen\libhighs.jl  1506 Highs_changeObjectiveOffset
     1         1 @Base\essentials.jl       11 length(a::Vector{Any})
     1         1 @Base\dict.jl            366 setindex!(h::Dict{Int64, Int64}, …
     1         1 @Base\intfuncs.jl        847 dec(x::UInt64, pad::Int64, neg::B…
     1         0 …s\src\ordered_dict.jl   316 _setindex!(h::OrderedCollections.…
     1         0 …HS\src\MOI_wrapper.jl   809 add_variable(model::HiGHS.Optimiz…
     1         0 …ies\copy\index_map.jl    92 delete!
     1         0 …lities\DoubleDicts.jl   254 delete!
     1         0 …lities\DoubleDicts.jl   262 delete!
     1         1 …s\src\ordered_dict.jl   125 rehash!(h::OrderedCollections.Ord…
     1         0 @Base\channels.jl        397 put_unbuffered(c::Channel{Any}, v…
     1         0 …\universalfallback.jl   180 is_valid
     1         0 …rc\Utilities\model.jl   206 is_valid
     1         0 …ariables_container.jl   239 is_valid
     1         1 @Base\abstractarray.jl  1571 get
     1         0 …src\Utilities\copy.jl   179 _copy_constraints(dest::HiGHS.Opt…
     1         0 …straint\Constraint.jl   117 add_all_bridges(model::MathOptInt…
     1         0 …s\src\sparsevector.jl   699 getindex(A::SparseArrays.SparseMa…
     1         0 @COCOA\src\COCOA.jl     1764 process_in_stages(model::Abstract…
     1         0 @COCOA\src\COCOA.jl     1384 test_concordance_optimized(model:…
     1         0 @Base\dict.jl            327 _setindex!
     1         1 …HS\src\MOI_wrapper.jl  1074 set(model::HiGHS.Optimizer, ::Mat…
     1         0 …macros\@constraint.jl   841 build_constraint(::Function, ::Ju…
     1         0 …macros\@constraint.jl   848 #build_constraint#85
     1         0 …macros\@constraint.jl   921 build_constraint
     1         0 …macros\@constraint.jl   928 #build_constraint#87
     1         0 …macros\@constraint.jl  1036 build_constraint
     1         0 …macros\@constraint.jl  1019 _clear_constant!
     1         0 @JuMP\src\aff_expr.jl    556 add_to_expression!
     1         0 @JuMP\src\JuMP.jl       1080 getindex(m::JuMP.Model, name::Sym…
     1         0 …\universalfallback.jl   524 set
     1         0 …rc\Utilities\model.jl   517 set
     1         0 …bjective_container.jl    63 set
     1         1 @JuMP\src\variables.jl   989 _moi_has_upper_bound(moi_backend:…
     1         1 @Base\boot.jl              ? rehash!(h::Dict{Int64, Int64}, ne…
     1         0 …src\Utilities\copy.jl   389 default_copy_to(dest::MathOptInte…
     1         0 …src\Utilities\copy.jl    78 pass_attributes(dest::MathOptInte…
     1         0 …src\Utilities\copy.jl    93 _pass_attribute(dest::MathOptInte…
     1         0 …s\bridge_optimizer.jl  1697 set
     1         0 …HS\src\MOI_wrapper.jl   960 set(model::HiGHS.Optimizer, ::Mat…
     1         1 …S\src\gen\libhighs.jl   547 Highs_passColName
     1         0 …ging\ConsoleLogger.jl   187 handle_message(logger::Base.CoreL…
     1         0 @Base\io.jl              837 write(s::Base.TTY, A::Vector{UInt…
     1         0 …s\src\ordered_dict.jl   386 getindex(h::OrderedCollections.Or…
     1         0 @Base\intfuncs.jl        850 dec(x::UInt64, pad::Int64, neg::B…
     1         0 @Base\intfuncs.jl        842 append_c_digits_fast(olength::Int…
     1         0 @Base\intfuncs.jl        807 append_c_digits(olength::Int64, d…
     1         0 …tk4\src\GLib\gtype.jl   377 run_delayed_finalizers()
     1         0 @JuMP\src\JuMP.jl       1077 getindex(m::JuMP.Model, name::Sym…
     1         1 …uct_of_constraints.jl    93 is_valid(model::MathOptInterface.…
     1         0 …s\src\ordered_dict.jl   245 ht_keyindex
     1         1 @JuMP\src\JuMP.jl        570 unsafe_backend(model::MathOptInte…
     1         0 …s\src\ordered_dict.jl   386 getindex
     1         1 …s\cachingoptimizer.jl   565 add_constraint(m::MathOptInterfac…
     1         0 …s\src\ordered_dict.jl   255 ht_keyindex
     1         0 @Base\broadcast.jl      1328 broadcasted
     1         0 @Base\dict.jl            712 iterate
     1         1 …uct_of_constraints.jl   323 constraints
     1         0 …rc\Bridges\Bridges.jl    66 full_bridge_optimizer(model::HiGH…
     1         0 …y_bridge_optimizer.jl    68 MathOptInterface.Bridges.LazyBrid…
     1         0 …se\logging\logging.jl   408 macro expansion
     1         0 @Base\methodshow.jl      139 fixup_stdlib_path
     1         0 @Base\path.jl            392 normpath(path::String)
     1         0 @Base\path.jl            136 isdirpath
     1         0 @Base\path.jl             55 splitdrive(path::String)
     1         0 @Base\regex.jl           462 match
     1         0 @Base\regex.jl           417 match
     1         0 @Base\regex.jl           427 match(re::Regex, str::String, idx…
     1         0 @COCOA\src\COCOA.jl     1863 process_concordance_batch(constra…
     1         0 @COCOA\src\COCOA.jl     1330 test_concordance_optimized(model:…
     1         0 @JuMP\src\aff_expr.jl    208 GenericAffExpr
     1         0 @JuMP\src\aff_expr.jl     52 _new_ordered_dict
     1         0 …HS\src\MOI_wrapper.jl  1798 delete(model::HiGHS.Optimizer, c:…
     1         0 …s\src\ordered_dict.jl   449 delete!(h::OrderedCollections.Ord…
     1         0 @COCOA\src\COCOA.jl     1372 test_concordance_optimized(model:…
     1         0 …MP\src\constraints.jl  1037 add_constraint(model::JuMP.Model,…
     1         0 …MP\src\constraints.jl   897 check_belongs_to_model
     1         0 @JuMP\src\aff_expr.jl    742 check_belongs_to_model
     1         1 …s\bridge_optimizer.jl  1195 set(b::MathOptInterface.Bridges.L…
     1         0 @Base\abstractarray.jl  3366 map!
     1         0 @Base\iterators.jl       427 iterate
     1         1 @Base\iterators.jl       437 _zip_iterate_all
     1         0 @Base\dict.jl            267 ht_keyindex2_shorthash!(h::Dict{S…
     1         1 …s\cachingoptimizer.jl   715 delete(m::MathOptInterface.Utilit…
     1         1 …s\cachingoptimizer.jl   355 optimize!(m::MathOptInterface.Uti…
     1         0 @COCOA\src\COCOA.jl     1364 test_concordance_optimized(model:…
     1         0 …4\src\GLib\signals.jl   264 g_yield(data::UInt64)
     1         1 @JuMP\src\aff_expr.jl     81 _build_aff_expr(constant::Float64…
     1         0 …s\src\ordered_dict.jl   460 iterate
     1         0 @COCOA\src\COCOA.jl     1399 test_concordance_optimized(model:…
     1         0 …rc\Utilities\model.jl   201 add_variable
     1         0 …uct_of_constraints.jl    20 _add_variable
