reaction_id,index
R_3OAR160_b,75
R_CO2tpp_f,482
R_MDDCP4pp,1373
R_LIPACabcpp,1290
R_ANS,326
R_MTHTHFSs,1465
R_DHNCOAT,601
R_HISTP,1164
R_MALt2_2pp,1355
R_HIStex_f,1169
R_DHDPS,595
R_ICL,1208
R_TRE6PH,1987
R_ACOAD2f_f,171
R_3OAS60,96
R_FEOXAMUtex,923
R_NTP10,1535
R_PLIPA2E120pp,1723
R_PHEMEtiex,1683
R_EX_etha_LPAREN_e_RPAREN_,761
R_EX_k_LPAREN_e_RPAREN__b,796
R_ARGtex_b,369
R_PGI_b,1645
R_D_DASH_LACt2pp_b,640
R_ACCOAC,156
R_DNMPPA,622
R_UAGAAT_b,2017
R_FE3HOXR1,892
R_PHEtex_b,1688
R_INDOLEt2pp,1230
R_O2tpp_f,1554
R_2AGPE180tipp,27
R_DDPA,580
R_3HPPtex_b,64
R_DXPRIi,638
R_NTPP8,1547
R_ADSL2r_b,238
R_URItex_b,2066
R_RNTR3c2,1875
R_MOGDS,1449
R_3OAS161,93
R_HEPT3,1156
R_LPLIPAL1G141pp,1312
R_CSND,511
R_Htex_f,1195
R_ARGAGMt7pp_b,358
R_GSPMDA,1099
R_EX_spmd_LPAREN_e_RPAREN_,831
R_ECOAH8_f,691
R_KAS15,1258
R_MLTP2_f,1429
R_DALAt2pp,560
R_LCARS_b,1275
R_TPI_f,1985
R_ATPS4rpp_b,407
R_DOXRBCNtpp,626
R_ADA,210
R_MG2uabcpp,1405
R_ACOAD3f_f,173
R_CYTK1_b,545
R_EAR161x,658
R_GARFT_b,984
R_MALCOAMT,1353
R_PTAr_b,1809
R_TRE6PP,1988
R_GLYALDtpp_f,1047
R_MLDCP2Bpp,1415
R_MOX_f,1452
R_FACOAE180,864
R_PLIPA1G140pp,1710
R_CLPNS161pp_b,466
R_THRt2rpp_b,1965
R_DHNPA2r_b,602
R_EX_glyclt_LPAREN_e_RPAREN_,780
R_PGSA140,1676
R_ACACT2r_b,136
R_FACOAE141,861
R_RBFK,1856
R_UREAtpp_b,2058
R_EX_ala_DASH_D_LPAREN_e_RPAREN_,731
R_GTHRDtex_b,1107
R_ACACT5r_b,142
R_3OAS100,87
R_MG2tpp,1404
R_PIt2rpp_f,1691
R_ACGAMK,158
R_S2FE2ST,1884
R_TMPPP,1983
R_TDPDRE,1945
R_FUSAtpp,950
R_CDPMEK,438
R_FACOAL140t2pp,869
R_ACACT6r_f,145
R_MICITDr_f,1408
R_INSH,1235
R_TREH,1990
R_VALabcpp,2071
R_MOHMT,1450
R_EX_mobd_LPAREN_e_RPAREN__b,811
R_NTPP3,1542
R_PSCVT_f,1791
R_CYTBDpp,535
R_NTPP7,1546
R_AP4AH,329
R_HACD2_f,1134
R_CTBTt2rpp_f,514
R_EX_cu2_LPAREN_e_RPAREN__f,754
R_NADK,1474
R_PGPP141,1665
R_EX_ins_LPAREN_e_RPAREN_,795
R_PLIPA2E180pp,1728
R_INStex_f,1241
R_GLYCtpp_b,1074
R_LPLIPAL1G181pp,1316
R_NI2uabcpp,1511
R_CHORM,442
R_ADNt2rpp_b,229
R_CLtex_b,473
R_ACLS,165
R_ADSL1r_f,237
R_EX_zn2_LPAREN_e_RPAREN__f,845
R_HSST,1182
R_HISt2rpp_b,1166
R_EX_ser_DASH_L_LPAREN_e_RPAREN_,828
R_PLIPA2A120pp,1716
R_FEOXAMtonex,927
R_PFL,1634
R_LPLIPAL1G161pp,1314
R_5DGLCNtex_b,110
R_5DOAN,112
R_ACOATA_f,185
R_ALCD2x_f,302
R_FACOAL181t2pp,874
R_PGK_f,1648
R_DHPS2,610
R_ARGt3pp,368
R_CA2t3pp,414
R_GMPS2,1089
R_RPE_b,1877
R_FE2tex_f,890
R_G3PEtex_b,968
R_SPMDt3pp,1920
R_ACS,201
R_PSCVT_b,1790
R_NH4tex_f,1503
R_GLUABUTt7pp_f,1025
R_UGMDDS,2034
R_PYDXNK,1836
R_3OAR120_f,70
R_LYSDC,1340
R_HYXNtex_b,1190
R_12PPDRtex_f,8
R_PPKr_f,1760
R_DADK_f,552
R_EAR120x,648
R_BMOGDS2,411
R_12PPDStpp_f,14
R_LYSabcpp,1341
R_3OAR60_b,83
R_COBALT2tex_f,486
R_CPGNUtex,495
